1767424619635,533,311
1767424619739,533,308
1767424619743,567,236
1767424619755,575,227
1767424619853,614,204
1767424619863,616,204
1767424619873,618,205
1767424619890,621,209
1767424619940,617,237
1767424619963,607,245
1767424619970,589,252
1767424619987,570,255
1767424620004,549,256
1767424620021,521,256
1767424620037,466,252
1767424620054,443,252
1767424620071,424,255
1767424620088,397,261
1767424620104,370,271
1767424620121,343,277
1767424620138,320,282
1767424620155,297,282
1767424620172,272,282
1767424620188,251,281
1767424620205,234,278
1767424620221,224,276
1767424620238,219,273
1767424620255,214,271
1767424620271,212,267
1767424620288,208,259
1767424620304,200,247
1767424620321,193,233
1767424620338,186,220
1767424620355,179,209
1767424620371,173,200
1767424620388,168,192
1767424620405,166,188
1767424620421,165,185
1767424620438,162,180
1767424620455,158,168
1767424620471,153,159
1767424620488,151,151
1767424620504,148,144
1767424620521,146,136
1767424620538,144,127
1767424620554,142,122
1767424620571,141,119
1767424620588,141,115
1767424620604,140,113
1767424620621,140,110
1767424620638,139,108
1767424620655,138,107
1767424620799,139,107
1767424620806,140,108
1767424620821,141,108
1767424620838,141,109
1767424620855,141,111
1767424620871,142,112
1767424620894,142,113
1767424620910,142,115
1767424620921,142,116
1767424620938,143,123
1767424620955,144,130
1767424620972,145,136
1767424620988,149,143
1767424621005,151,146
1767424621022,153,150
1767424621038,153,151
1767424621055,154,153
1767424621111,154,154
1767424621155,155,154
1767424621280,155,153
1767424621289,153,151
1767424621305,150,149
1767424621322,149,148
1767424621339,148,148
1767424621447,147,151
1767424621455,145,159
1767424621472,141,170
1767424621489,139,177
1767424621506,137,180
1767424621522,137,181
1767424621539,136,181
1767424621713,137,180
1767424621722,139,176
1767424621739,141,173
1767424621756,144,168
1767424621773,145,167
1767424621799,145,166
1767424621814,146,166
1767424621856,147,165
1767424621873,148,165
1767424622231,144,165
1767424622239,141,165
1767424622256,130,165
1767424622272,117,164
1767424622289,107,162
1767424622306,102,160
1767424622323,98,159
1767424622339,96,156
1767424622357,93,153
1767424622373,91,151
1767424622389,89,149
1767424622406,88,141
1767424622423,88,137
1767424622440,92,131
1767424622456,97,126
1767424622473,115,119
1767424622490,131,114
1767424622506,145,113
1767424622523,156,113
1767424622539,161,115
1767424622556,163,115
1767424622573,164,116
1767424622589,165,118
1767424622606,166,124
1767424622623,166,135
1767424622640,166,145
1767424622657,164,154
1767424622673,160,160
1767424622689,157,164
1767424622706,152,167
1767424622723,148,167
1767424622740,142,167
1767424622757,135,165
1767424622774,132,163
1767424622790,126,158
1767424622806,118,144
1767424622823,115,139
1767424622840,115,133
1767424622856,117,127
1767424622873,121,123
1767424622890,125,120
1767424622907,130,118
1767424622923,135,118
1767424622940,140,118
1767424622957,147,122
1767424622973,153,126
1767424622990,156,129
1767424623006,158,134
1767424623023,158,138
1767424623040,156,145
1767424623056,150,149
1767424623073,144,151
1767424623090,134,153
1767424623107,126,153
1767424623123,113,152
1767424623140,103,146
1767424623157,96,142
1767424623173,91,139
1767424623190,87,130
1767424623207,87,125
1767424623223,91,121
1767424623240,98,115
1767424623257,114,109
1767424623273,128,108
1767424623290,140,108
1767424623307,149,108
1767424623323,151,110
1767424623341,153,111
1767424623357,155,112
1767424623374,155,114
1767424623390,155,122
1767424623407,153,130
1767424623423,147,138
1767424623440,139,143
1767424623457,130,147
1767424623474,125,147
1767424623490,120,147
1767424623507,115,146
1767424623523,112,144
1767424623540,110,141
1767424623557,105,135
1767424623574,103,122
1767424623591,103,109
1767424623607,111,98
1767424623624,124,90
1767424623641,135,86
1767424623657,149,86
1767424623674,158,86
1767424623690,163,88
1767424623707,165,91
1767424623724,166,95
1767424623741,166,106
1767424623757,162,117
1767424623774,151,128
1767424623790,144,132
1767424623807,138,132
1767424623824,131,131
1767424623841,126,127
1767424623857,120,123
1767424623874,115,116
1767424623891,110,108
1767424623908,110,100
1767424623924,111,92
1767424623941,119,82
1767424623958,124,79
1767424623974,132,78
1767424623991,136,78
1767424624007,141,81
1767424624024,144,84
1767424624041,146,90
1767424624058,146,97
1767424624074,146,102
1767424624091,141,108
