subject,country
5RPoGYeKWAyzaye,BR
6x1fFiYg7HgXlMl,BR
1azVhuyssAlvfVA,BR
5oFwJlZDxDoDHsU,BR
6UYDPrmbfrjqp5A,BR
5FIMAxpbUcoVvmz,BR
5elCSrsPLAcpbso,BR
5LBsEIWAwJ9L7uK,BR
1lEFTZrnswnQYq5,BR
6JQ2t2RKL8lM7WR,BR
5GBykQnFDFVmVL2,BR
1ndu3Pbj4y1rUuU,BR
9ttHRTaBaaM6xWo,IN
4LqXGTmZVgDvnoJ,IN
4DI5ur5ZQghUYiQ,IN
9yflSxOmCKJBGyB,IN
939mKwC0J6budad,IN
4PjbrVAOwPxvtYg,IN
40iYpeEuhsC4xU2,IN
4CmvrIUdTqg1JWB,IN
4HdmPmBudoiwBDH,IN
94Xo7d3GbDF3Wud,IN
4NttRyzD0U1HqKW,IN
9iy500aJbFyGaD7,IN
4DHKyBts3k5bdh7,IN
9JLbu8Vlgf3M94u,IN
64vlAC3Yb2tlNxw,US
3OY0BAIeL92j8KB,US
5dSV830qYdIm6UE,US
1Ph9mSGpQy2pVtf,US
5HIkmBDRFkoyJoc,US
50A3aAcXhtLyh5n,US
5Lbv7bbQrPMTMI6,US
1JRzkBK2xtWpQeg,US
5dFE7M3oUMZ2tpv,US
7gSLcem3k3gziW5,US
5ELrePsQ21tUrpA,US
5UZpMlVLVNvrDOx,US
1ePQoX9sOP7Dqz6,US
3CHOcyDJKHY1twD,US
1FQb6PSo35pS4aT,US
5PHm84o2DM6TqM1,US
5plgmqEVemzN8yc,US
5CjDiWlKCQSZFRc,US
1QlSS2aS6DxjFF1,US
5QXwcr3GFF5bWUj,US
5gILKYjpGEtZQIy,US
5WMxgNla1rLThwQ,US
4D2eyyWLQ2cKydz,JP
4jClrl1El4VQM4y,JP
9foEExgX0Wtm6l3,JP
90oBRj7xK0wS2UT,JP
9PXCCqSRHv9eDg2,JP
9r9CCgGHWi8XgFK,JP
9TcPj5457i95pEl,JP
4LJAkdxLeHNV6eJ,JP
9mLBQmhFBGbOoot,JP
4OI9FDx5Jn9lthf,JP
9jV3KxQQmOLU7fH,JP
4S7Rh0lGTrqxchr,JP
9o9xdT7BrLnX9Pr,JP
44pCIyfWEXSac90,JP
4dsvZ17K33N46cO,JP
40PzrbtWUfQs5UR,JP
4k5FxcRZYKJXLEk,JP
95byvB6MsIx37VL,JP
4noRWqxD6HXdeBh,JP
9LIhGmIm9EKEAnt,JP
9IZQ31W9ZHhenG9,JP
91Gm9wwe3nVhNri,JP
4qfzzZSVW1vOY9P,JP
4R9BSwZaN942mIO,JP
99ggAxVR4NAVwWT,JP
9QF2eqsZETxWQI9,JP
4r2KjyCoAlOqC6V,JP
4LY8x8W2bZ6U5M6,JP
4lyECcnS3GpvgrI,JP
9s4rRxu7l98Mw3Y,JP
4nMwAYrTimKhnuN,JP
9FE2o73VVspXkFa,JP
4otEMXEoWPMLJdF,JP
4JKKEQsrs6nJ0Tu,JP
4OqQUGqVZt2DjFe,JP
