subject,country
13xt95Ep90kGwkY,BR
16BHIblXPySgHx7,BR
16w1KBaYeWoq8XT,BR
17y8ZT3kkxHIXsX,BR
1EfQaoNQBrKyb39,BR
1INbsf7sCzx5cCB,BR
1Lhd2311lMs4JC4,BR
1Oj4g3Y7nqWyZeG,BR
1PXhLO5SlgOw251,BR
1azVhuyssAlvfVA,BR
1b3kNsYYr7co2zs,BR
1lEFTZrnswnQYq5,BR
1ndu3Pbj4y1rUuU,BR
1qVe0Rz5jqvrl61,BR
1rA6HZGmQFpCvYx,BR
1ybkjA7dqXrPF97,BR
33vGgMQ7zouHoAl,BR
3402ywYEYEYoBNs,BR
34dC6FanGFZBgsf,BR
3I6luk6t2bm1SNH,BR
3M0wbKJm40OY8YX,BR
3SHFepISJjpnOFz,BR
3fvso87IdIzVSju,BR
3pKy9bwZmEGrrHy,BR
3qqqEGw528KYmjw,BR
3yNGoVWcIo79Xz3,BR
5AnaMSV5wP79bFL,BR
5CJu9w0rXoEJlNK,BR
5FIMAxpbUcoVvmz,BR
5GBykQnFDFVmVL2,BR
5LBsEIWAwJ9L7uK,BR
5MAeZMSGYYOdOmZ,BR
5MsY0e3FiljL6B5,BR
5QKEe2p6Rvc82iW,BR
5RPoGYeKWAyzaye,BR
5RZWt7Xkeg6tNV8,BR
5Ww0bgyDx9QKNCF,BR
5YS6pZ8bZ2intWF,BR
5asJ7VznIte5I5j,BR
5dSEva9K8t098E9,BR
5dtLQp1PoYiOV2a,BR
5elCSrsPLAcpbso,BR
5gGwYQiLVKzK7Ml,BR
5hzSoXxtIFqmsr2,BR
5n50kucDQXYa63L,BR
5nPXrnWxwmPvQEp,BR
5oFwJlZDxDoDHsU,BR
5oGDwItULCS8UbT,BR
5pW0jaDzUcXeO8P,BR
5sfW75hN8rdbTcR,BR
5ta6uXWKYmvEQ6V,BR
5xApfphIow91uY9,BR
6164p4UN3nn2jfL,BR
6ClZyKEzENYBPEi,BR
6DmfANHBI4oTsyt,BR
6H2GUwIneaR4ePJ,BR
6IqWFc7iiN8VzsB,BR
6JQ2t2RKL8lM7WR,BR
6UYDPrmbfrjqp5A,BR
6V3kRwvQtHCksiL,BR
6Wjbud0mQtiPdqF,BR
6XTkW7ergKTbmi5,BR
6byu4HdrG2ZVXk5,BR
6jcs4HTrMkNDSg1,BR
6x1fFiYg7HgXlMl,BR
70TmMdqRWwNcWx0,BR
71Fxq1kpt4IBX4c,BR
71Z5o6bvLA6lMzL,BR
71zLAtEzKeEiySK,BR
72Kev18VrilhCdb,BR
72rjgieKsCk6nyi,BR
7IyJxMpilfoAz08,BR
7JIMClrc7dH2XVn,BR
7RjFKJ8dW0GpFcO,BR
7Y65D2JTRn1QHS2,BR
7hlukz1sCm4t10n,BR
7isPWVEjFkYByxM,BR
7jfDuuW1Xi3u3mV,BR
7mOuwqMtJZR6LoK,BR
7pWZpC1Oijxtu7v,BR
7s1anfVBGGuMKlc,BR
7zhHPvdle9t6vrW,BR
40iYpeEuhsC4xU2,IN
41bVQ8mMHM22UM4,IN
41yP2kAB9xAZSoE,IN
42DerT5ueDhAwuZ,IN
42JESroRquircC5,IN
42JfCcds7VOwgT2,IN
42RDmkXBdYmm2s8,IN
4CUXcWWYu7wjuHg,IN
4CmvrIUdTqg1JWB,IN
4DHKyBts3k5bdh7,IN
4DI5ur5ZQghUYiQ,IN
4DuN2P2KQ5zszpj,IN
4EHgra9XODy0Jww,IN
4EdgNuAGzi1N1GR,IN
4ErLTqHwnQC9UvL,IN
