1767428232215,786,394
-1,-1,-1
2552,123,37
1767428234075,124,36
1767428234127,123,38
1767428234870,792,157
1767428234881,783,169
1767428234898,766,190
1767428234916,750,222
1767428234932,738,251
1767428234950,730,279
1767428234966,731,302
1767428234982,742,317
1767428234999,763,322
1767428235017,788,311
1767428235034,808,290
1767428235049,829,251
1767428235067,843,206
1767428235083,854,167
1767428235100,855,136
1767428235115,849,124
1767428235132,831,128
1767428235149,815,141
1767428235166,795,166
1767428235183,774,212
1767428235200,756,264
1767428235217,745,330
1767428235233,741,373
1767428235252,751,405
1767428235267,769,411
1767428235282,788,406
1767428235300,804,382
1767428235316,816,348
1767428235332,824,302
1767428235350,828,265
1767428235366,827,230
1767428235383,821,209
1767428235400,807,199
1767428235416,795,199
1767428235433,779,217
1767428235450,768,253
1767428235468,759,323
1767428235484,756,376
1767428235501,753,426
1767428235516,761,450
1767428235533,773,451
1767428235549,785,439
1767428235565,796,409
1767428235583,803,366
1767428235600,808,331
1767428235616,810,300
1767428235633,808,299
1767428235650,806,298
1767428235666,800,303
1767428235683,795,321
1767428235700,790,363
1767428235719,793,413
1767428236303,120,55
1767428236316,120,62
1767428236333,117,73
1767428236349,118,76
1767428236369,118,79
1767428236383,120,80
1767428236399,125,75
1767428236416,127,65
1767428236433,126,49
1767428236450,123,37
1767428236466,111,28
1767428236483,95,34
1767428236499,77,53
1767428236516,63,78
1767428236532,56,105
1767428236550,53,124
1767428236567,64,132
1767428236584,81,124
1767428236599,102,106
1767428236615,119,81
1767428236633,133,58
1767428236649,141,34
1767428236665,141,18
1767428236683,132,13
1767428236699,114,26
1767428236715,99,45
1767428236731,88,70
1767428236748,84,94
1767428236765,85,110
1767428236782,96,112
1767428236799,107,100
1767428236816,119,82
1767428236834,127,63
1767428236850,127,58
1767428236866,126,54
1767428236883,123,51
1767428236899,115,59
1767428236916,109,74
-1,-1,-1
2552,,
3348.600000143051,,
4781.5,,
-1,-1,-1
2631.7999999523163,,
4232.900000095367,,
5432.200000047684,,
