1762253661505,855.5,497
1762253662295,854.5,497
1762253662304,851.5,497
1762253662320,839.5,497
1762253662337,812.5,497
1762253662354,752.5,489
1762253662371,649.5,475
1762253662387,524.5,449
1762253662404,379.5,419
1762253662421,248.5,388
1762253662437,135.5,361
1762253662454,43.5,335
1762253666934,-0.5,68
1762253666950,6.5,70
1762253666967,10.5,70
1762253666984,12.5,70
1762253667000,17.5,69
1762253667018,20.5,69
1762253667034,24.5,68
1762253667050,31.5,67
1762253667068,35.5,65
1762253667085,40.5,62
1762253667101,42.5,60
1762253667118,47.5,56
1762253667134,52.5,53
1762253667151,57.5,50
1762253667168,61.5,48
1762253667184,65.5,47
1762253667201,68.5,45
1762253667217,69.5,44
1762253667234,71.5,44
1762253667251,72.5,44
1762253667301,73.5,44
1762253667351,74.5,44
1762253667402,75.5,43
1762253667418,76.5,43
1762253667434,78.5,43
1762253667450,81.5,43
1762253667468,83.5,43
1762253667484,84.5,43
1762253667616,85.5,43
1762253667623,86.5,43
1762253667639,86.5,42
1762253667714,87.5,42
1762253667721,88.5,42
1762253667733,90.5,42
1762253667751,92.5,41
1762253667767,93.5,40
1762253667785,94.5,40
1762253668514,94.5,41
1762253668543,94.5,42
1762253668568,94.5,43
1762253668611,94.5,44
1762253668629,94.5,45
1762253668711,94.5,46
1762253668865,94.5,47
1762253668913,94.5,48
1762253668930,94.5,49
1762253669010,94.5,50
1762253669049,94.5,51
1762253669106,94.5,52
1762253669213,94.5,53
1762253669287,94.5,54
1762253669367,94.5,55
1762253669399,94.5,56
1762253669415,94.5,57
1762253669465,94.5,58
1762253669727,93.5,58
1762253669743,92.5,58
1762253669765,91.5,58
1762253669815,90.5,57
1762253669906,90.5,56
1762253669916,92.5,55
1762253669933,98.5,55
1762253669950,104.5,55
1762253669967,106.5,55
1762253669982,108.5,55
1762253670000,111.5,55
1762253670017,119.5,55
1762253670033,127.5,56
1762253670049,132.5,56
1762253670066,135.5,57
1762253670082,143.5,59
1762253670099,152.5,60
1762253670115,157.5,61
1762253670133,160.5,61
1762253670149,162.5,61
1762253670166,163.5,61
1762253670243,163.5,60
1762253670315,163.5,59
1762253670346,163.5,57
1762253670354,162.5,57
1762253670366,162.5,56
1762253670383,161.5,54
1762253670399,160.5,54
1762253670535,159.5,54
1762253670548,158.5,54
1762253670598,156.5,55
1762253670615,156.5,56
1762253670667,155.5,56
1762253670690,154.5,56
1762253670699,153.5,57
1762253670716,152.5,57
1762253670784,151.5,57
1762253670832,149.5,57
1762253670848,147.5,56
1762253670866,146.5,55
1762253670883,145.5,54
1762253671010,144.5,54
1762253671066,144.5,53
1762253671162,144.5,52
1762253671258,144.5,51
1762253672081,144.5,52
1762253672106,144.5,53
1762253672156,144.5,55
1762253672207,144.5,56
1762253672323,144.5,57
1762253672351,144.5,58
1762253672367,144.5,59
1762253672409,144.5,60
1762253672441,144.5,61
1762253672492,144.5,62
1762253672507,144.5,63
1762253672528,144.5,64
1762253672552,144.5,65
1762253672591,144.5,66
1762253672895,142.5,65
1762253672909,142.5,64
1762253672927,142.5,63
1762253672943,142.5,62
1762253672959,142.5,61
1762253672976,142.5,60
1762253672999,142.5,59
1762253673042,143.5,57
1762253673093,143.5,56
1762253673394,143.5,55
1762253673410,144.5,53
1762253673433,144.5,52
1762253673457,144.5,51
1762253673466,145.5,50
1762253673527,145.5,49
1762253673928,145.5,49
1762253673944,145.5,48
1762253673960,145.5,46
1762253673978,144.5,41
1762253673995,142.5,35
1762253674010,139.5,27
1762253674027,134.5,20
1762253674045,132.5,18
1762253674060,131.5,15
1762253674077,130.5,13
1762253674094,129.5,12
1762253674110,127.5,10
1762253674127,123.5,8
1762253674144,121.5,7
1762253674194,120.5,7
1762253674354,119.5,7
1762253674378,118.5,7
1762253674395,117.5,7
