Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Place of most time spent before turning 18,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
690a9006968fa18d41f27865,5883a935c0c9a10001df6345,RETURNED,Not Applicable,,,,2025-12-04T00:26:51.655809Z,,,2328,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690a9027e663037a9ca941b0,6682acf01de451e343fa1d56,APPROVED,Not Applicable,2025-11-04T23:46:19.986000Z,2025-11-05T00:22:05.209000Z,2025-11-14T03:27:49.729000Z,2025-11-05T00:22:05.601360Z,2146.0,C65SCBRP,289,Spain,33,Male,White,Spain,Spain,Spain,Spanish,Yes,Part-Time
690a9028f44cbeb85e19ffa9,5dcbea3588381e87f60cb202,APPROVED,Not Applicable,2025-11-04T23:45:48.042000Z,2025-11-05T00:15:52.539000Z,2025-11-14T03:26:49.058000Z,2025-11-05T00:15:52.947490Z,1805.0,C65SCBRP,853,Spain,32,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
690a9030d8fcaf877c6f783e,665817bb11fabbb508be7b9a,APPROVED,Not Applicable,2025-11-04T23:45:52.221000Z,2025-11-05T00:59:07.211000Z,2025-11-14T03:27:49.986000Z,2025-11-05T00:59:07.580721Z,4395.0,C65SCBRP,717,Spain,30,Male,White,Spain,Spain,Spain,Spanish,No,Other
690a90410966a2b0735a247c,66705c846c233520f83ed2c1,APPROVED,Not Applicable,2025-11-04T23:46:17.540000Z,2025-11-05T00:20:21.389000Z,2025-11-14T03:26:52.631000Z,2025-11-05T00:20:21.797495Z,2044.0,C65SCBRP,617,Spain,26,Male,Mixed,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking)
690a9044114cc84ba44d1171,615b8628e36642dc441f4711,APPROVED,Not Applicable,2025-11-04T23:46:12.436000Z,2025-11-05T00:23:05.174000Z,2025-11-14T03:26:50.110000Z,2025-11-05T00:23:05.558255Z,2213.0,C65SCBRP,909,Spain,37,Male,White,Spain,Spain,Spain,Spanish,No,Unemployed (and job seeking)
690a9045d559b80b55bdf88b,5e73746e686c0c2c978392e1,APPROVED,Not Applicable,2025-11-04T23:47:33.102000Z,2025-11-05T01:21:38.677000Z,2025-11-14T03:27:04.364000Z,2025-11-05T01:21:39.143464Z,5646.0,C65SCBRP,732,Spain,52,Male,White,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
690a9046b103c8de42fee3c9,6679a3b7cb020a6e4728eac5,APPROVED,Not Applicable,2025-11-04T23:50:38.478000Z,2025-11-05T00:21:33.079000Z,2025-11-14T03:27:04.930000Z,2025-11-05T00:21:33.487632Z,1855.0,C65SCBRP,1061,Spain,30,Male,White,Spain,Spain,Spain,Spanish,Yes,Full-Time
690a90471631a755225764a0,66c4cefb3e98086ecca28a29,APPROVED,Not Applicable,2025-11-04T23:46:15.164000Z,2025-11-05T00:13:14.295000Z,2025-11-14T03:27:50.264000Z,2025-11-05T00:13:14.705497Z,1620.0,C65SCBRP,335,Spain,32,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
690a9055857aa6e3dd6a231c,66b0a5a53d2e5f2ab8ae2a9a,RETURNED,Not Applicable,,,,2025-12-04T00:26:51.657451Z,,,642,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690a9059a57dadbaeea0c6d1,5b9cd912a1b0ab0001178936,APPROVED,Not Applicable,2025-11-04T23:46:49.601000Z,2025-11-05T00:11:23.061000Z,2025-11-14T03:27:50.511000Z,2025-11-05T00:11:23.485060Z,1474.0,C65SCBRP,1463,Spain,43,Female,White,Spain,Spain,Spain,Spanish,No,Full-Time
690a9062e477608657449af6,5cae3bdf3f4c8f0017ef8902,APPROVED,Not Applicable,2025-11-04T23:46:50.932000Z,2025-11-05T00:17:41.919000Z,2025-11-14T03:26:55.128000Z,2025-11-05T00:17:49.617423Z,1851.0,C65SCBRP,1372,Spain,24,Male,White,Spain,Spain,Spain,Spanish,Yes,Part-Time
690a906ae22de2902bd2083c,5dfbefa35777b591c3999842,APPROVED,Not Applicable,2025-11-04T23:46:54.078000Z,2025-11-05T00:36:40.752000Z,2025-11-14T03:27:02.828000Z,2025-11-05T00:36:41.131522Z,2987.0,C65SCBRP,1017,Spain,48,Male,White,Spain,Spain,Spain,Spanish,No,Other
690a906e1ced1cd8c56ad3c6,6669df2f25867bc36bb36c7d,APPROVED,Not Applicable,2025-11-04T23:46:54.478000Z,2025-11-05T00:24:25.181000Z,2025-11-14T03:27:03.630000Z,2025-11-05T00:24:25.558816Z,2251.0,C65SCBRP,999,Spain,31,Male,White,Spain,Spain,Spain,Spanish,No,Part-Time
690a907a24546c0be96bf6bc,5ca65510a0b6540012283c32,APPROVED,Not Applicable,2025-11-04T23:47:06.875000Z,2025-11-05T00:34:17.931000Z,2025-11-14T03:27:50.741000Z,2025-11-05T00:34:18.332583Z,2832.0,C65SCBRP,2761,Spain,35,Female,White,Spain,Spain,Spain,Spanish,No,Full-Time
690a909d4f7012970ac16454,5c3377fb04f29e0001104681,APPROVED,Not Applicable,2025-11-04T23:47:44.749000Z,2025-11-05T00:40:54.683000Z,2025-11-14T03:27:50.968000Z,2025-11-05T00:40:55.078564Z,3190.0,C65SCBRP,2471,Spain,33,Male,White,Spain,Spain,Spain,Spanish,Yes,Part-Time
690a90dc242be80229fba1ae,6635344fb4ae723326e3ce04,APPROVED,Not Applicable,2025-11-04T23:51:37.837000Z,2025-11-05T00:27:11.410000Z,2025-11-14T03:27:51.218000Z,2025-11-05T00:27:11.796029Z,2134.0,C65SCBRP,612,Spain,59,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
690a914a7585af67326cf957,5e2aabf3e8a5c40fe87c3f3b,APPROVED,Not Applicable,2025-11-04T23:52:20.604000Z,2025-11-05T00:19:27.060000Z,2025-11-14T03:27:06.309000Z,2025-11-05T00:19:27.508088Z,1627.0,C65SCBRP,159,Spain,32,Male,White,Spain,Spain,Spain,Spanish,Yes,Full-Time
690a9189006fd4f107909611,5b376f54cf5e6a00018309ef,APPROVED,Not Applicable,2025-11-04T23:51:37.474000Z,2025-11-05T00:25:17.869000Z,2025-11-14T03:27:51.494000Z,2025-11-05T00:25:18.293837Z,2021.0,C65SCBRP,1430,Spain,38,Male,White,Spain,Spain,Spain,Spanish,Yes,Full-Time
690a9308394a1da2fd4f3fb5,6671967f2c77caaa17c21963,APPROVED,Not Applicable,2025-11-04T23:58:47.140000Z,2025-11-05T00:35:13.044000Z,2025-11-14T03:27:06.835000Z,2025-11-05T00:35:13.438043Z,2186.0,C65SCBRP,201,Spain,35,Female,White,Spain,Spain,Spain,Spanish,No,Unemployed (and job seeking)
690a94470cd5cfc6e091ba71,5ecef11b1ed62917125bb673,APPROVED,Not Applicable,2025-11-05T00:03:19.166000Z,2025-11-05T00:41:29.326000Z,2025-11-14T03:27:51.739000Z,2025-11-05T00:41:29.714171Z,2291.0,C65SCBRP,1165,Spain,25,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
690a967fcd2a4d40de201979,669bdad53c058df5b00af502,APPROVED,Not Applicable,2025-11-05T00:13:08.403000Z,2025-11-05T00:49:11.417000Z,2025-11-14T03:27:07.411000Z,2025-11-05T00:49:11.792008Z,2164.0,C65SCBRP,137,Spain,23,Male,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking)
690a969acd2a4d40de20197d,5cfaab352e080000016ec742,APPROVED,Not Applicable,2025-11-05T00:13:19.104000Z,2025-11-05T00:45:48.875000Z,2025-11-14T03:27:51.994000Z,2025-11-05T00:45:49.280285Z,1950.0,C65SCBRP,1719,Spain,42,Male,Mixed,Spain,Spain,Spain,Spanish,Yes,Part-Time
690a97485542ee991eda074b,66d5c9478a1903142fa4a5fa,APPROVED,Not Applicable,2025-11-05T00:21:57.915000Z,2025-11-05T00:57:08.538000Z,2025-11-14T03:27:52.236000Z,2025-11-05T00:57:08.940200Z,2111.0,C65SCBRP,722,Spain,25,Male,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking)
690a9765e9b33cd98393ed51,6105668f1b01ece27ff9e61f,APPROVED,Not Applicable,2025-11-05T00:16:40.838000Z,2025-11-05T00:48:01.763000Z,2025-11-14T03:27:07.941000Z,2025-11-05T00:48:02.153167Z,1881.0,C65SCBRP,512,Spain,33,Male,White,Spain,Spain,Spain,Spanish,Yes,Part-Time
690a97f07cb4cd0fdcaba87c,5ab3e44cf5918d00012e947a,APPROVED,Not Applicable,2025-11-05T00:19:00.082000Z,2025-11-05T00:47:57.361000Z,2025-11-14T03:27:52.481000Z,2025-11-05T00:47:57.776123Z,1738.0,C65SCBRP,1669,Spain,47,Female,White,Spain,Spain,Spain,Spanish,No,Part-Time
690a98d43589ebe0e2842779,60cdee09c5281847e8cb7e7e,APPROVED,Not Applicable,2025-11-05T00:23:03.362000Z,2025-11-05T00:52:23.614000Z,2025-11-14T03:27:52.714000Z,2025-11-05T00:52:23.996064Z,1761.0,C65SCBRP,681,Spain,53,Female,White,Spain,Spain,Spain,Spanish,Yes,Part-Time
690a992ddc9c820e3e795a75,66813de72ae80cacff1535d9,RETURNED,Not Applicable,2025-11-05T00:25:41.645000Z,,,2025-12-04T00:26:51.659478Z,,,157,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690a994f2f7f85068fe70371,6695302b94c499d7f2fde7f6,APPROVED,Not Applicable,2025-11-05T00:24:54.210000Z,2025-11-05T01:04:29.432000Z,2025-11-14T03:27:52.965000Z,2025-11-05T01:04:29.794542Z,2376.0,C65SCBRP,561,Spain,37,Male,White,Spain,Spain,Spain,Spanish,No,Part-Time
690a99d84e228833df379759,6136cb52db0f1cb2262bbf5d,APPROVED,Not Applicable,2025-11-05T00:27:04.465000Z,2025-11-05T01:20:54.525000Z,2025-11-14T03:27:53.222000Z,2025-11-05T01:20:54.977891Z,3231.0,C65SCBRP,1512,Spain,29,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
690a99da56f005b125ebe6d5,5ede6266873bba0bb046317e,APPROVED,Not Applicable,2025-11-05T00:27:06.484000Z,2025-11-05T00:59:49.649000Z,2025-11-14T03:27:53.456000Z,2025-11-05T00:59:50.036331Z,1964.0,C65SCBRP,391,Spain,28,Male,White,Uruguay,Spain,Uruguay,Spanish,No,Full-Time
