1762231704601,349,197
1762231704628,331,154
1762231704633,330,154
1762231704676,328,153
1762231704693,325,153
1762231704710,318,162
1762231704726,310,177
1762231704743,304,198
1762231704760,306,226
1762231704776,314,247
1762231704793,323,275
1762231704810,328,288
1762231705093,328,287
1762231705110,330,273
1762231705126,330,267
1762231705143,330,261
1762231705160,324,256
1762231705177,311,247
1762231705193,289,238
1762231705210,240,214
1762231705226,197,195
1762231705243,153,180
1762231705260,121,167
1762231705276,96,158
1762231705293,81,150
1762231705310,73,144
1762231705327,69,142
1762231705344,69,141
1762231705459,69,142
1762231705477,71,143
1762231705494,74,146
1762231705510,79,150
1762231705526,92,158
1762231705543,108,160
1762231705560,124,162
1762231705576,135,162
1762231705593,141,161
1762231705610,144,160
1762231705627,147,158
1762231705643,149,155
1762231705660,150,152
1762231705677,150,150
1762231705693,150,148
1762231705710,150,146
1762231705727,150,144
1762231705744,150,139
1762231705760,144,131
1762231705777,139,124
1762231705793,134,117
1762231705810,131,112
1762231705827,129,108
1762231705844,127,105
1762231705860,125,101
1762231705876,121,95
1762231705893,119,91
1762231705910,119,90
1762231705926,118,89
1762231705943,118,88
1762231705960,118,87
1762231705977,119,85
1762231705993,121,83
1762231706010,124,78
1762231706026,126,76
1762231706043,128,75
1762231706060,130,74
1762231706076,131,73
1762231706101,132,73
1762231706111,133,73
1762231706127,134,73
1762231706144,135,73
1762231706160,135,72
1762231706177,136,71
1762231706194,137,71
1762231706210,138,70
1762231706227,139,69
1762231706243,141,67
1762231706260,142,66
1762231706277,143,65
1762231706294,144,63
1762231706311,145,61
1762231706327,146,60
1762231706344,146,59
1762231706365,146,58
1762231706578,146,58
1762231706782,146,57
1762231706827,144,56
1762231706844,143,56
1762231706860,142,56
1762231706876,132,56
1762231706894,124,57
1762231706910,111,58
1762231706926,103,60
1762231706944,97,62
1762231706960,96,62
1762231707123,95,62
1762231707130,94,62
1762231707144,93,62
1762231707160,92,63
1762231707177,91,63
1762231707194,89,63
1762231707210,88,63
1762231707226,87,62
1762231707243,86,61
1762231707260,85,60
1762231707277,84,59
1762231707294,83,59
1762231707310,83,58
1762231707333,82,58
1762231707343,82,57
1762231707512,83,57
1762231707527,84,57
1762231707544,85,58
1762231707560,86,59
1762231707581,87,59
1762231707594,88,59
1762231707610,88,60
1762231707627,89,60
1762231708302,90,60
1762231708310,94,60
1762231708327,116,65
1762231708345,157,73
1762231708360,202,82
1762231708377,245,87
1762231708394,279,92
1762231708410,307,97
1762231708427,340,100
1762231708443,357,102
1762231708460,373,102
1762231708477,390,101
1762231708494,411,101
1762231708510,439,102
1762231708526,480,106
1762231708543,503,107
1762231708560,524,109
1762231708576,545,112
1762231708593,565,119
1762231708610,583,125
1762231708627,595,130
1762231708643,599,131
1762231708660,599,132
1762231708710,597,133
1762231708726,586,136
1762231708743,581,139
1762231708760,580,139
1762231708777,579,139
1762231708794,578,139
1762231708810,575,139
1762231708826,564,139
1762231708843,528,136
1762231708859,503,134
1762231708876,488,130
1762231708894,485,129
1762231708944,487,129
1762231708961,501,135
1762231708976,521,138
1762231708993,550,140
1762231709010,578,148
1762231709026,610,157
1762231709043,639,164
1762231709060,667,172
1762231709077,696,183
1762231709093,742,203
1762231709110,773,218
1762231709126,790,231
1762231709143,797,239
1762231709160,799,245
1762231709176,801,250
1762231709193,801,252
1762231709210,800,254
1762231709226,798,256
1762231709243,796,258
1762231709260,792,259
1762231709276,788,262
1762231709293,783,265
1762231709310,777,267
1762231709327,773,267
1762231709343,770,267
1762231709360,769,267
1762231709426,769,266
1762231709444,767,256
1762231709462,767,249
1762231709480,767,244
1762231709494,767,240
1762231709511,768,239
1762231709527,768,238
1762231709544,768,237
1762231709560,768,233
1762231709577,767,228
1762231709594,766,223
1762231709611,766,221
1762231709627,766,220
1762231709677,766,216
1762231709694,767,209
1762231709711,772,200
1762231709726,775,195
1762231709743,780,188
1762231709760,785,177
1762231709777,791,165
1762231709794,795,152
1762231709810,797,142
1762231709827,797,135
1762231709844,799,126
1762231709860,800,122
1762231709877,800,120
1762231709893,800,119
1762231709910,800,118
1762231709927,799,117
1762231709944,798,116
1762231709961,797,115
1762231709977,796,114
1762231710047,795,113
1762231710061,791,112
1762231710076,786,110
1762231710094,783,109
1762231710110,779,107
1762231710127,775,106
1762231710144,772,105
1762231710200,771,104
1762231710215,770,102
1762231710227,770,100
1762231710244,768,95
1762231710260,767,93
1762231710277,767,92
1762231710293,767,91
1762231710310,767,87
1762231710327,769,80
1762231710343,772,73
1762231710360,774,66
1762231710376,776,59
1762231710393,778,53
1762231710410,780,48
1762231710426,783,44
1762231710444,786,40
1762231710460,788,37
1762231710477,789,35
1762231710494,789,34
1762231710510,790,34
1762231710533,791,34
1762231710580,791,36
1762231710594,791,39
1762231710610,790,50
1762231710627,783,73
1762231710643,780,89
1762231710660,779,105
1762231710677,779,120
1762231710694,779,135
1762231710710,781,149
1762231710727,781,157
1762231710744,783,161
1762231710760,784,162
1762231710780,784,163
1762231710796,785,163
1762231710810,786,163
1762231710827,795,162
1762231710843,797,161
1762231710860,803,161
1762231710878,805,161
1762231710953,805,160
1762231710967,805,159
1762231710976,805,158
1762231710993,803,155
1762231711011,802,154
1762231711027,802,153
1762231711043,801,151
1762231711060,799,148
1762231711076,797,145
1762231711093,797,144
1762231711110,796,144
1762231711127,796,143
1762231711177,796,142
1762231711371,796,143
1762231711376,796,144
1762231711393,798,148
1762231711410,799,153
1762231711426,802,157
1762231711443,806,161
1762231711460,809,164
1762231711477,811,165
1762231711493,812,165
1762231711510,814,165
1762231711526,814,159
1762231711543,814,153
1762231711560,814,151
1762231711577,814,149
1762231711593,813,148
1762231711610,811,146
1762231711626,809,143
1762231711643,807,142
1762231711660,806,141
1762231711678,805,141
1762231711694,804,140
1762231711710,803,140
1762231711726,802,140
1762231711743,801,140
1762231711760,800,142
1762231711776,798,146
1762231711793,798,150
1762231711809,799,154
1762231711826,801,156
1762231711843,802,157
1762231711860,803,157
1762231711910,804,157
1762231711926,805,156
1762231711943,806,155
1762231711960,807,154
1762231711977,809,152
1762231711993,809,151
1762231712010,810,148
1762231712026,810,147
1762231712043,810,146
